method,scenario_id,eligible_patch_count,total_selections,unique_selected_patches,unique_patch_fraction,unique_to_selection_ratio,top1_selection_share,top5_share,top10_share,consecutive_overlap_count,consecutive_denominator_count,consecutive_reselection_fraction,revisit_fraction,mean_selection_count_per_used_patch,maximum_selection_count,mean_revisit_gap_steps,mean_longest_consecutive_streak
EngineeringROI_B20,JILONG_EI_0089,182,5328,133,0.7307692307692307,0.024962462462462462,0.02515015015015015,0.1097972972972973,0.20777027027027026,3405,5291,0.6435456435456436,0.9774436090225563,40.06015037593985,134,2.6284889316650624,12.601503759398497
EngineeringROI_B20,JILONG_EI_0099,182,5328,125,0.6868131868131868,0.02346096096096096,0.02702702702702703,0.12237237237237238,0.2256006006006006,3598,5291,0.6800226800226801,0.96,42.624,144,2.4591581779742455,16.792
EngineeringROI_B20,JILONG_EI_0109,182,5328,128,0.7032967032967034,0.024024024024024024,0.02665165165165165,0.121996996996997,0.2271021021021021,3653,5291,0.6904176904176904,0.96875,41.625,142,2.5753846153846154,14.9296875
EngineeringROI_B20,JILONG_EI_0119,182,5328,123,0.6758241758241759,0.023085585585585586,0.02702702702702703,0.1293168168168168,0.23892642642642642,4101,5291,0.7750897750897751,0.983739837398374,43.31707317073171,144,2.381940441882805,19.804878048780488
EngineeringROI_B20,JILONG_EI_0129,182,5328,130,0.7142857142857143,0.024399399399399398,0.026839339339339338,0.11955705705705706,0.21978228228228228,3501,5291,0.6616896616896617,0.9692307692307692,40.98461538461538,143,2.5754136206233165,15.86923076923077
EngineeringROI_B20,JILONG_EI_0139,182,5328,125,0.6868131868131868,0.02346096096096096,0.026839339339339338,0.13025525525525525,0.2346096096096096,3884,5291,0.7340767340767341,0.952,42.624,143,2.5404574284066883,18.24
EngineeringROI_B20,JILONG_EI_0149,182,5328,127,0.6978021978021978,0.023836336336336337,0.02702702702702703,0.12575075075075076,0.22653903903903905,3802,5291,0.7185787185787186,0.9606299212598425,41.95275590551181,144,2.502595654681792,17.10236220472441
EngineeringROI_B20,JILONG_EI_0159,182,5328,126,0.6923076923076923,0.02364864864864865,0.02702702702702703,0.12743993993993993,0.234984984984985,3858,5291,0.7291627291627292,0.9682539682539683,42.285714285714285,144,2.416955017301038,17.650793650793652
EngineeringROI_B20,JILONG_EI_0169,182,5328,131,0.7197802197802198,0.024587087087087088,0.02702702702702703,0.11373873873873874,0.20852102102102102,3399,5291,0.6424116424116424,0.9618320610687023,40.67175572519084,144,2.6915528189340003,14.534351145038167
EngineeringROI_B20,JILONG_EI_0179,182,5328,124,0.6813186813186813,0.023273273273273273,0.026839339339339338,0.12143393393393394,0.22334834834834835,3855,5291,0.7285957285957286,0.967741935483871,42.96774193548387,143,2.5236356648731744,17.274193548387096
EngineeringROI_B20,JILONG_EI_0189,182,5328,127,0.6978021978021978,0.023836336336336337,0.02702702702702703,0.12387387387387387,0.2302927927927928,3968,5291,0.74995274995275,0.9606299212598425,41.95275590551181,144,2.403576235339358,18.30708661417323
EngineeringROI_B20,JILONG_EI_0199,182,5328,125,0.6868131868131868,0.02346096096096096,0.02702702702702703,0.12424924924924925,0.22785285285285287,3974,5291,0.751086751086751,0.992,42.624,144,2.588506630789929,17.744
EngineeringROI_NoDiversity_B10,JILONG_EI_0009,182,2736,102,0.5604395604395604,0.03728070175438596,0.05116959064327485,0.22149122807017543,0.3972953216374269,1920,2717,0.7066617592933382,0.9117647058823529,26.823529411764707,140,3.0421412300683373,14.156862745098039
EngineeringROI_NoDiversity_B10,JILONG_EI_0019,182,2736,107,0.5879120879120879,0.039108187134502925,0.05043859649122807,0.19809941520467836,0.35599415204678364,1854,2717,0.6823702613176298,0.9345794392523364,25.570093457943926,138,3.3491821985545833,11.093457943925234
EngineeringROI_NoDiversity_B10,JILONG_EI_0029,182,2736,99,0.5439560439560439,0.03618421052631579,0.05080409356725146,0.21235380116959066,0.3845029239766082,1869,2717,0.6878910563121089,0.8888888888888888,27.636363636363637,139,2.877512324611301,14.717171717171718
EngineeringROI_NoDiversity_B10,JILONG_EI_0039,182,2736,102,0.5604395604395604,0.03728070175438596,0.051900584795321635,0.2152777777777778,0.35891812865497075,1928,2717,0.7096061832903938,0.9313725490196079,26.823529411764707,142,3.433561123766135,13.519607843137255
EngineeringROI_NoDiversity_B10,JILONG_EI_0049,182,2736,96,0.5274725274725275,0.03508771929824561,0.05080409356725146,0.22989766081871346,0.4057017543859649,1919,2717,0.7062937062937062,0.8958333333333334,28.5,139,2.710227272727273,14.166666666666666
EngineeringROI_NoDiversity_B10,JILONG_EI_0059,182,2736,108,0.5934065934065934,0.039473684210526314,0.05116959064327485,0.21089181286549707,0.3706140350877193,1950,2717,0.7177033492822966,0.9074074074074074,25.333333333333332,140,3.060502283105023,12.425925925925926
EngineeringROI_NoDiversity_B10,JILONG_EI_0069,182,2736,97,0.532967032967033,0.03545321637426901,0.05263157894736842,0.22807017543859648,0.38742690058479534,1886,2717,0.694147957305852,0.9484536082474226,28.20618556701031,144,2.9943160287987873,12.907216494845361
EngineeringROI_NoDiversity_B10,JILONG_EI_0079,182,2736,110,0.6043956043956044,0.0402046783625731,0.05080409356725146,0.2185672514619883,0.3823099415204678,2014,2717,0.7412587412587412,0.9090909090909091,24.87272727272727,139,3.0963442498095963,13.481818181818182
EngineeringROI_NoDiversity_B10,JILONG_EI_0089,182,2736,96,0.5274725274725275,0.03508771929824561,0.051535087719298246,0.23464912280701755,0.40095029239766083,1833,2717,0.6746411483253588,0.8958333333333334,28.5,141,2.75,14.291666666666666
EngineeringROI_NoDiversity_B10,JILONG_EI_0099,182,2736,99,0.5439560439560439,0.03618421052631579,0.051900584795321635,0.22880116959064328,0.4024122807017544,1884,2717,0.6934118513065881,0.898989898989899,27.636363636363637,142,2.982176715965112,13.545454545454545
EngineeringROI_NoDiversity_B10,JILONG_EI_0109,182,2736,102,0.5604395604395604,0.03728070175438596,0.051900584795321635,0.22880116959064328,0.39437134502923976,1869,2717,0.6878910563121089,0.9215686274509803,26.823529411764707,142,3.0284738041002277,12.362745098039216
EngineeringROI_NoDiversity_B10,JILONG_EI_0119,182,2736,101,0.554945054945055,0.036915204678362575,0.051535087719298246,0.2361111111111111,0.40899122807017546,2019,2717,0.743099006256901,0.8712871287128713,27.08910891089109,141,3.1259962049335863,14.841584158415841
EngineeringROI_NoDiversity_B10,JILONG_EI_0129,182,2736,105,0.5769230769230769,0.03837719298245614,0.05116959064327485,0.2273391812865497,0.3972953216374269,1876,2717,0.6904674273095326,0.8857142857142857,26.057142857142857,140,2.8650703154694033,12.438095238095238
EngineeringROI_NoDiversity_B10,JILONG_EI_0139,182,2736,111,0.6098901098901099,0.04057017543859649,0.05263157894736842,0.21308479532163743,0.3669590643274854,1985,2717,0.7305852042694148,0.8558558558558559,24.64864864864865,144,3.1923809523809523,13.477477477477477
EngineeringROI_NoDiversity_B10,JILONG_EI_0149,182,2736,111,0.6098901098901099,0.04057017543859649,0.05226608187134503,0.21673976608187134,0.3717105263157895,1959,2717,0.7210158262789842,0.8918918918918919,24.64864864864865,143,3.1188571428571428,13.153153153153154
