chainage_m,x,y
9838.329285249329,347245.3239186913,3135331.0055175847
9858.32928524929,347225.33927600365,3135330.2218999197
9878.32928524931,347205.35463331593,3135329.4382822546
9898.32928524933,347185.3699906282,3135328.6546645896
9918.329285249292,347165.38534794055,3135327.8710469245
9938.329285249312,347145.40070525283,3135327.0874292594
9958.329285249332,347125.4160625651,3135326.3038115944
9978.329285249294,347105.43141987745,3135325.5201939293
9998.329285249314,347085.44677718973,3135324.7365762643
10018.329285249276,347065.4621345021,3135323.952958599
10038.329285249296,347045.47749181435,3135323.169340934
10058.329285249316,347025.49284912663,3135322.385723269
10078.329285249278,347005.508206439,3135321.602105604
10098.329285249298,346985.52356375125,3135320.818487939
10118.329285249318,346965.53892106353,3135320.034870274
10138.32928524928,346945.5542783759,3135319.251252609
10158.3292852493,346925.56963568815,3135318.467634944
10178.32928524932,346905.58499300043,3135317.6840172787
10198.329285249281,346885.6003503128,3135316.9003996137
10217.80340064831,346867.09791344474,3135310.8257802413
10237.803400648287,346849.6145952718,3135301.113232395
10257.803400648314,346832.13127709884,3135291.400684549
10277.80340064829,346814.6479589259,3135281.688136703
10297.803400648267,346797.164640753,3135271.9755888567
10317.803400648243,346779.6813225801,3135262.2630410106
10337.80340064822,346762.19800440717,3135252.5504931645
10357.803400648421,346744.71468623425,3135242.837945318
10377.803400648398,346727.23136806133,3135233.1253974717
10397.803400648374,346709.7480498884,3135223.4128496256
10417.80340064835,346692.2647317155,3135213.7003017794
10437.803400648327,346674.7814135426,3135203.9877539333
10457.803400648303,346657.29809536965,3135194.275206087
10477.80340064828,346639.81477719673,3135184.562658241
10497.803400648256,346622.3314590238,3135174.850110395
10517.695727603517,346605.408273413,3135164.394946098
10537.695727603335,346591.2658047263,3135150.2531435452
10557.695727603483,346577.12333603954,3135136.111340992
10577.69572760326,346562.98086735286,3135121.9695384395
10597.695727603408,346548.8383986661,3135107.8277358864
10617.695727603515,346534.69592997944,3135093.6859333334
10637.695727603334,346520.5534612927,3135079.5441307807
10657.695727603481,346506.41099260596,3135065.4023282276
10677.695727603259,346492.2685239193,3135051.260525675
10697.695727603406,346478.12605523254,3135037.118723122
10717.695727603554,346463.9835865458,3135022.976920569
10737.695727603332,346449.8411178591,3135008.835118016
10757.69572760348,346435.6986491724,3134994.693315463
10777.695727603257,346421.5561804857,3134980.5515129105
10797.695727603405,346407.41371179896,3134966.4097103574
10817.695727603223,346393.2712431122,3134952.267907805
10837.69572760333,346379.12877442554,3134938.1261052517
10857.450688263447,346364.0635028311,3134925.347370476
10877.450688263583,346345.68047938694,3134917.4692711458
10897.450688263481,346327.29745594284,3134909.591171816
10917.45068826338,346308.91443249874,3134901.713072486
10937.450688263516,346290.5314090546,3134893.834973156
10957.450688263414,346272.1483856105,3134885.956873826
10977.45068826355,346253.76536216633,3134878.078774496
10997.450688263449,346235.38233872224,3134870.200675166
11017.450688263401,346216.9993152781,3134862.3225758364
11037.450688263483,346198.616291834,3134854.444476506
11057.450688263436,346180.2332683898,3134846.5663771764
11077.450688263518,346161.85024494573,3134838.688277846
11097.31311934792,346142.25322662643,3134835.4520699456
11117.313119347842,346122.3670218815,3134833.3216097043
11137.313119347873,346102.48081713653,3134831.1911494625
11157.313119347846,346082.5946123916,3134829.0606892207
11177.313119347877,346062.7084076466,3134826.930228979
11197.313119347908,346042.82220290165,3134824.799768737
11217.31311934788,346022.9359981567,3134822.6693084952
11237.313119347911,346003.04979341174,3134820.5388482534
11257.313119347884,345983.1635886668,3134818.4083880116
11277.313119347864,345963.27738392184,3134816.2779277703
11297.313119347837,345943.3911791769,3134814.1474675285
11317.313119347868,345923.50497443194,3134812.0170072867
11337.313119347898,345903.61876968696,3134809.886547045
11357.313119347871,345883.73256494204,3134807.756086803
11377.313119347902,345863.84636019706,3134805.625626561
11397.313119347875,345843.96015545214,3134803.4951663194
11417.313119347906,345824.07395070716,3134801.3647060776
