method,scenario_id,time_s,budget_fraction,selected_patch_count,eligible_patch_count,active_cell_coverage_fraction
SmoothOracleV2_B10,JILONG_EI_0019,310,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,320,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,330,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,340,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,350,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,360,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,370,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,380,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,390,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,400,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,410,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,420,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,430,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,440,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,450,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,460,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,470,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,480,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,490,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,500,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,510,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,520,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,530,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,540,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,550,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,560,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,570,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,580,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,590,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,600,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,610,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,620,0.1,19,182,0.10529822116378618
SmoothOracleV2_B10,JILONG_EI_0019,630,0.1,19,182,0.10529822116378618
