method,scenario_id,time_s,total_normalized_error,top1_fraction,top5_fraction,top10_fraction,top20_fraction,top30_fraction,top50_fraction,error_mass_true_wet,error_mass_false_positive_wet,error_mass_both_dry
SmoothOracleV2_B20,JILONG_EI_0029,740,1267.398681640625,0.7909435594699573,1.0,1.0,1.0,1.0,1.0,636.7687377929688,415.58905029296875,215.04083251953125
SmoothOracleV2_B20,JILONG_EI_0029,750,1278.5306396484375,0.7889379138128655,1.0,1.0,1.0,1.0,1.0,641.420654296875,415.9418640136719,221.1681365966797
SmoothOracleV2_B20,JILONG_EI_0029,760,1289.137939453125,0.7866667110678344,1.0,1.0,1.0,1.0,1.0,646.8539428710938,415.02972412109375,227.25433349609375
SmoothOracleV2_B20,JILONG_EI_0029,770,1296.5799560546875,0.784377543587488,1.0,1.0,1.0,1.0,1.0,650.75927734375,413.79107666015625,232.02955627441406
SmoothOracleV2_B20,JILONG_EI_0029,780,1304.521484375,0.7812771581575411,1.0,1.0,1.0,1.0,1.0,655.6400756835938,409.1767578125,239.70455932617188
SmoothOracleV2_B20,JILONG_EI_0029,790,1313.8876953125,0.7767965628764896,1.0,1.0,1.0,1.0,1.0,659.825439453125,408.92529296875,245.1369171142578
SmoothOracleV2_B20,JILONG_EI_0029,800,1324.059814453125,0.7724553468931763,1.0,1.0,1.0,1.0,1.0,666.2039794921875,406.7995300292969,251.05642700195312
SmoothOracleV2_B20,JILONG_EI_0029,810,1334.943359375,0.7680468129032076,1.0,1.0,1.0,1.0,1.0,671.9609375,404.51995849609375,258.46240234375
SmoothOracleV2_B20,JILONG_EI_0029,820,1343.04541015625,0.7626944799751417,1.0,1.0,1.0,1.0,1.0,678.2930908203125,400.1405029296875,264.6119384765625
SmoothOracleV2_B20,JILONG_EI_0029,830,1354.048583984375,0.759082190485602,1.0,1.0,1.0,1.0,1.0,684.9840698242188,398.78533935546875,270.2791748046875
SmoothOracleV2_B20,JILONG_EI_0029,840,1364.736328125,0.7550776902336174,1.0,1.0,1.0,1.0,1.0,690.8521728515625,398.8465576171875,275.03765869140625
SmoothOracleV2_B20,JILONG_EI_0029,850,1375.3984375,0.7519502505672659,1.0,1.0,1.0,1.0,1.0,695.6742553710938,400.4414367675781,279.2826843261719
SmoothOracleV2_B20,JILONG_EI_0029,860,1385.0150146484375,0.7491312620990122,1.0,1.0,1.0,1.0,1.0,699.898193359375,396.9619140625,288.1548156738281
SmoothOracleV2_B20,JILONG_EI_0029,870,1393.966064453125,0.7455429571195002,1.0,1.0,1.0,1.0,1.0,704.7722778320312,395.28546142578125,293.9084167480469
SmoothOracleV2_B20,JILONG_EI_0029,880,1404.1729736328125,0.7422483456233068,1.0,1.0,1.0,1.0,1.0,710.6141967773438,394.3517761230469,299.2069396972656
SmoothOracleV2_B20,JILONG_EI_0029,890,1413.423583984375,0.7397220951697371,1.0,1.0,1.0,1.0,1.0,714.96484375,395.02655029296875,303.43212890625
SmoothOracleV2_B20,JILONG_EI_0029,900,1427.5712890625,0.7355481785952441,1.0,1.0,1.0,1.0,1.0,719.12060546875,398.3243713378906,310.1263732910156
SmoothOracleV2_B20,JILONG_EI_0029,910,1437.6087646484375,0.7332085533469441,1.0,1.0,1.0,1.0,1.0,724.951904296875,396.5408020019531,316.1161193847656
SmoothOracleV2_B20,JILONG_EI_0029,920,1448.29345703125,0.7289584503166567,1.0,1.0,1.0,1.0,1.0,728.939453125,396.79766845703125,322.55633544921875
SmoothOracleV2_B20,JILONG_EI_0029,930,1460.143310546875,0.7265994279562206,1.0,1.0,1.0,1.0,1.0,733.804443359375,396.619140625,329.7196960449219
