method,scenario_id,time_s,true_wet_error_fraction,false_positive_error_fraction,both_dry_error_fraction
OraclePerfectV2_B05,JILONG_EI_0069,1150,0.415571559541174,0.31300201829043356,0.2714263775514848
OraclePerfectV2_B05,JILONG_EI_0069,1160,0.4136356795019269,0.3129685120832744,0.2733958084147987
OraclePerfectV2_B05,JILONG_EI_0069,1170,0.40897792002707123,0.31152333836219054,0.27949874161073823
OraclePerfectV2_B05,JILONG_EI_0069,1180,0.4063278906672123,0.31032038015395597,0.28335179484700934
OraclePerfectV2_B05,JILONG_EI_0069,1190,0.40469250162071224,0.31032753184499373,0.2849800100550311
OraclePerfectV2_B05,JILONG_EI_0069,1200,0.40163767402068806,0.3094307762770159,0.28893157130635416
OraclePerfectV2_B05,JILONG_EI_0069,1210,0.4002032028072877,0.3092069527314161,0.2905898444612962
OraclePerfectV2_B05,JILONG_EI_0069,1220,0.3988124897010748,0.30872855276796324,0.2924589362191664
OraclePerfectV2_B05,JILONG_EI_0069,1230,0.3978237991621589,0.30823402611135964,0.2939421959097626
OraclePerfectV2_B05,JILONG_EI_0069,1240,0.3963238938106727,0.30716047295136223,0.29651569636413466
OraclePerfectV2_B05,JILONG_EI_0069,1250,0.39543716059735784,0.3069534893504169,0.2976093500522253
OraclePerfectV2_B05,JILONG_EI_0069,1260,0.3934690713777574,0.3056719936361523,0.3008589349860903
OraclePerfectV2_B05,JILONG_EI_0069,1270,0.39196154891338014,0.304215809119,0.3038227039162257
OraclePerfectV2_B05,JILONG_EI_0069,1280,0.3901849442821311,0.303043915654646,0.3067711605688423
OraclePerfectV2_B05,JILONG_EI_0069,1290,0.38793606966711436,0.3007702186000407,0.31129373211536115
OraclePerfectV2_B05,JILONG_EI_0069,1300,0.3870912562747717,0.2994853006241295,0.31342340254740464
OraclePerfectV2_B05,JILONG_EI_0069,1310,0.38493571896577794,0.29876752179829646,0.31629677939619977
OraclePerfectV2_B05,JILONG_EI_0069,1320,0.383861598202908,0.2965787516968764,0.3195596100251984
OraclePerfectV2_B05,JILONG_EI_0069,1330,0.38232438427653337,0.29587502611817257,0.3218005497606372
OraclePerfectV2_B05,JILONG_EI_0069,1340,0.38083465368604325,0.29531574952224743,0.3238495967917094
OraclePerfectV2_B05,JILONG_EI_0069,1350,0.37808587109311853,0.2948556537526386,0.3270584357819661
OraclePerfectV2_B05,JILONG_EI_0069,1360,0.3768211530252987,0.2940233060003528,0.32915554097434846
OraclePerfectV2_B05,JILONG_EI_0069,1370,0.3746451048372088,0.29311899461257446,0.3322358228118316
OraclePerfectV2_B05,JILONG_EI_0069,1380,0.37248826489167164,0.2925663505775905,0.33494538453073786
OraclePerfectV2_B05,JILONG_EI_0069,1390,0.3714120381929267,0.2916504251724851,0.33693753663458825
OraclePerfectV2_B05,JILONG_EI_0069,1400,0.3685519077565926,0.29104010477056136,0.34040798747284606
OraclePerfectV2_B05,JILONG_EI_0069,1410,0.3676117312015351,0.2904364548538113,0.3419518139446535
OraclePerfectV2_B05,JILONG_EI_0069,1420,0.3665152475760221,0.28962954125251106,0.34385511687087394
OraclePerfectV2_B05,JILONG_EI_0069,1430,0.3653313077948742,0.28925133051545365,0.3454173242019157
OraclePerfectV2_B05,JILONG_EI_0069,1440,0.3627229769789312,0.2889744545271272,0.34830260574462096
OraclePerfectV2_B05,JILONG_EI_0079,10,0.8290475094252572,0.16157387638233414,0.0093786095161428
OraclePerfectV2_B05,JILONG_EI_0079,20,0.872140264022749,0.12066842981964768,0.007191266949774864
OraclePerfectV2_B05,JILONG_EI_0079,30,0.7273734154120255,0.26526523755616516,0.0073613439664533716
OraclePerfectV2_B05,JILONG_EI_0079,40,0.8147815474846051,0.17851382935874682,0.006704670261125006
OraclePerfectV2_B05,JILONG_EI_0079,50,0.7655639310675484,0.22883228927221208,0.00560371859843837
OraclePerfectV2_B05,JILONG_EI_0079,60,0.7276564226230593,0.2641184107243391,0.008225198263032698
OraclePerfectV2_B05,JILONG_EI_0079,70,0.7531492664882021,0.2337150717637119,0.013135623419321762
OraclePerfectV2_B05,JILONG_EI_0079,80,0.6815854972503902,0.3021497785458818,0.016264736788445793
OraclePerfectV2_B05,JILONG_EI_0079,90,0.6050146407836612,0.37513385603969995,0.019851519137723473
OraclePerfectV2_B05,JILONG_EI_0079,100,0.619656809324503,0.3612087976554844,0.019134393020012633
OraclePerfectV2_B05,JILONG_EI_0079,110,0.6539837475628383,0.3275943454329173,0.018421793969017056
OraclePerfectV2_B05,JILONG_EI_0079,120,0.6647675146989213,0.3141510481278067,0.02108148884270855
OraclePerfectV2_B05,JILONG_EI_0079,130,0.6322251228798624,0.34042381356308904,0.027351138486605545
OraclePerfectV2_B05,JILONG_EI_0079,140,0.6154924014747394,0.3545757931110521,0.029931752488482937
OraclePerfectV2_B05,JILONG_EI_0079,150,0.6137272380634191,0.3575024325428389,0.028770409398439875
OraclePerfectV2_B05,JILONG_EI_0079,160,0.6188540934277053,0.35407946091765957,0.02706644565463522
OraclePerfectV2_B05,JILONG_EI_0079,170,0.5925905455497626,0.38470406914440297,0.022705483302565627
OraclePerfectV2_B05,JILONG_EI_0079,180,0.5914015650283065,0.3856947068640914,0.022903735745701873
