s_m,x,y,merged_64m_elevation_m,dem_8m_elevation_m,dem_12_5m_elevation_m,merged_source,local_slope,distance_to_component_endpoint_m
2740.0,335857.74594452704,3141254.050498316,2329.0264237122756,nan,2671.0,12.5m,0.30886973099323994,11168.0
2760.0,335871.06322250434,3141238.338978597,2334.8140488573135,nan,2674.0,12.5m,0.36731244001505275,11148.0
2780.0,335884.38050048164,3141222.627458878,2343.7189213128777,nan,2675.0,12.5m,0.5646684651401188,11128.0
2800.0,335897.69777845894,3141206.9159391588,2357.4007874629183,nan,2676.0,12.5m,0.7969935096264408,11108.0
2820.0,335911.01505643624,3141191.2044194397,2375.5986616979353,nan,2679.0,12.5m,0.9410548195822003,11088.0
2840.0,335924.34815379896,3141175.5069601736,2395.0429802462063,nan,2684.0,12.5m,0.9419636211960551,11068.0
2860.0,335938.3886811094,3141160.438272857,2413.2772065457775,nan,2689.0,12.5m,0.995177502801937,11048.0
2880.0,335952.4292084199,3141145.36958554,2434.850080358284,nan,2697.0,12.5m,1.0538273688492155,11028.0
2900.0,335966.4697357304,3141130.300898223,2455.430301299746,nan,2709.0,12.5m,1.0146100273671663,11008.0
2920.0,335980.51026304084,3141115.232210906,2475.4344814529704,nan,2722.0,12.5m,1.0395327390982856,10988.0
2940.0,335994.55079035135,3141100.1635235897,2497.0116108636776,nan,2728.0,12.5m,1.0956462118185868,10968.0
2960.0,336008.5913176618,3141085.0948362728,2519.260329925714,nan,2735.0,12.5m,0.9429673730642435,10948.0
2980.0,336022.6318449723,3141070.026148956,2534.7303057862473,nan,2740.0,12.5m,0.6421157377562053,10928.0
3000.0,336036.6723722828,3141054.957461639,2544.944959435962,nan,2745.0,12.5m,nan,10908.0
