case,V_m3,h_e_m,entrainment_rate,phi_deg,Manning,historical_reach_m,fraction,max_depth_m,max_speed_m_s,P99_speed_m_s,wet_volume_m3,bdif_state_integral_m3,R3_reached,R4_h010_reached
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,11757.313119347922,0.5965918283470406,38.8538885176029,51.22059021289694,49.92861820947895,16324539.867310513,6688074.727353934,False,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,15033.422714979744,0.7628288072965025,78.43162575879849,40.99792583575836,37.95932028824864,19812690.406057823,11188124.051167432,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,15573.422714979806,0.7902295904547982,69.95801264942514,41.32152477700641,35.516739722831694,20891381.31199451,12770561.726355828,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,16031.700040707938,0.8134835860633886,64.49437268809112,40.78577466717425,33.28023977236751,21670507.149599604,13957118.282744467,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,16490.17839452235,0.8367477822775362,62.72237585967977,37.07249010766479,30.607601346298708,22118788.469014086,14702881.157134227,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,16670.178394522165,0.8458813766636244,61.46217333012487,33.34784771670655,26.612011506261187,22413515.886751883,15244208.71976665,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,16710.17839452213,0.8479110643049775,62.29783952612785,31.073663016648958,26.547504526185257,22599283.997912683,15562514.892577551,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,16770.178394522423,0.850955595767025,60.98210546563491,30.350751207047104,24.813479427654674,22702901.698435623,15648727.669518005,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,17088.954505154376,0.8671309940697473,59.76994388787354,29.55917710721076,22.149800215412466,22770584.371359378,15695089.698300686,True,False
RECON_A_h8,10000000.0,8.0,0.2,38.0,0.025,17308.954505154354,0.8782942760971988,63.536114651535,28.991319558010098,21.524393456313277,22842045.247355126,15660778.080364509,True,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,2768.28905749058,0.14046905219217362,43.10525643219646,50.77094774346734,50.527616813562794,10540419.77900807,545585.1648182941,False,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,6544.00403055726,0.33205710264498645,43.92103935399992,51.045172087123476,50.4959777193653,12540950.510219775,2579747.2110803747,False,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,11757.313119347922,0.5965918283470406,38.853876540347,51.23268267850644,49.89570994726176,16582164.139987918,7054163.15497948,False,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,15033.422714979744,0.7628288072965025,78.76066982791566,42.25700118605248,38.56163313374402,20614883.76232408,12305233.079985218,True,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,15573.422714979806,0.7902295904547982,69.54105872428838,41.23635123462809,37.04026632982843,22093636.86399515,14471809.105113465,True,False
RECON_A_h12,10000000.0,12.0,0.2,38.0,0.025,16031.700040707938,0.8134835860633886,65.47474606963401,41.00022472025615,33.98779916771775,23245777.89269634,16147926.147556374,True,False
