chainage_m,x,y,z30,z32,z64
15510.0,343808.8252341043,3131952.51151855,2068.7083,2071.2722,2077.679199
15520.0,343802.1222035744,3131945.090643823,2067.2654,2071.2722,2077.679199
15530.0,343795.41917304456,3131937.6697690957,2067.2654,2071.2722,2077.679199
15540.0,343788.7161425147,3131930.2488943688,2067.2654,2065.95,2067.63208
15550.0,343782.0131119849,3131922.8280196413,2067.2654,2065.95,2067.63208
15560.0,343775.31008145504,3131915.4071449144,2063.9841,2065.95,2067.63208
15570.0,343768.6070509252,3131907.9862701874,2063.9841,2065.95,2067.63208
15580.0,343761.9040203953,3131900.56539546,2063.9841,2065.95,2067.63208
15590.0,343755.20098986535,3131893.144520733,2063.9841,2064.0034,2067.63208
15600.0,343748.4979593355,3131885.723646006,2062.5647,2064.0034,2067.63208
15610.0,343741.79492880567,3131878.3027712787,2062.5647,2064.0034,2067.63208
15620.0,343735.09189827583,3131870.8818965517,2062.5647,2064.0034,2067.63208
15630.0,343728.388867746,3131863.4610218247,2062.5647,2067.5784,2084.332764
15640.0,343721.6858372161,3131856.0401470973,2061.2815,2062.0725,2064.702148
15650.0,343714.98280668614,3131848.6192723704,2061.2815,2062.0725,2064.702148
15660.0,343708.27977615624,3131841.1983976434,2061.2815,2062.0725,2064.702148
15670.0,343701.5767456264,3131833.777522916,2061.2815,2069.0693,2064.702148
15680.0,343694.87371509656,3131826.356648189,2069.5806,2069.0693,2064.702148
15690.0,343688.1706845667,3131818.935773462,2062.5076,2062.2812,2064.702148
15700.0,343681.4676540368,3131811.5148987346,2062.5076,2062.2812,2064.702148
15710.0,343674.76462350687,3131804.0940240077,2062.5076,2062.2812,2064.702148
15720.0,343668.06159297697,3131796.6731492807,2070.3735,2070.1826,2088.19165
15730.0,343661.35856244713,3131789.2522745533,2061.378,2061.5112,2065.362061
15740.0,343654.6555319173,3131781.8313998263,2061.378,2061.5112,2065.362061
15750.0,343647.95250138745,3131774.4105250994,2061.378,2061.5112,2065.362061
15760.0,343641.24947085767,3131766.989650372,2067.427,2066.574,2065.362061
15770.0,343634.54644032783,3131759.568775645,2067.427,2066.574,2065.362061
15780.0,343627.8434097979,3131752.1479009176,2059.234,2059.2534,2065.362061
15790.0,343621.140379268,3131744.7270261906,2059.234,2059.2534,2065.362061
15800.0,343614.4373487381,3131737.3061514637,2063.4,2062.6248,2083.328125
15810.0,343607.73431820824,3131729.885276736,2063.4,2062.6248,2083.328125
15820.0,343601.0312876784,3131722.4644020093,2050.818,2062.6248,2083.328125
15830.0,343594.32825714856,3131715.0435272823,2050.818,2049.773,2048.255371
15840.0,343587.62522661866,3131707.622652555,2054.391,2053.5054,2048.255371
15850.0,343580.9221960887,3131700.201777828,2054.391,2053.5054,2048.255371
15860.0,343574.2191655588,3131692.780903101,2054.391,2053.5054,2048.255371
15870.0,343567.516135029,3131685.3600283735,2039.1991,2053.5054,2048.255371
15880.0,343560.8131044992,3131677.9391536466,2047.6349,2038.5756,2048.255371
15890.0,343554.11007396935,3131670.5182789196,2047.6349,2048.52,2075.023438
15900.0,343547.4070434394,3131663.097404192,2047.6349,2048.52,2075.023438
15910.0,343540.7040129095,3131655.6765294652,2035.1844,2048.52,2075.023438
15920.0,343534.0009823796,3131648.2556547383,2050.069,2048.52,2075.023438
15930.0,343527.29795184976,3131640.834780011,2050.069,2051.5303,2041.146973
15940.0,343520.5949213199,3131633.413905284,2050.069,2051.5303,2041.146973
15950.0,343513.8918907901,3131625.9930305565,2050.069,2051.5303,2041.146973
15960.0,343507.18886026024,3131618.5721558295,2052.5457,2051.5303,2041.146973
15970.0,343500.4858297304,3131611.1512811026,2052.5457,2056.9717,2084.071777
15980.0,343492.18154797074,3131605.9391984134,2052.5457,2056.9717,2084.071777
15990.0,343483.04400042526,3131601.8765361267,2052.5457,2056.9717,2084.071777
16000.0,343473.1906208534,3131601.185867,2041.4666,2056.9717,2084.071777
16010.0,343463.1906208534,3131601.185867,2041.4666,2049.202,2062.677979
16020.0,343453.1906208534,3131601.185867,2041.4666,2049.202,2062.677979
16030.0,343443.1906208534,3131601.185867,2042.7583,2049.202,2062.677979
16040.0,343433.1906208534,3131601.185867,2042.7583,2049.8352,2062.677979
16050.0,343423.1906208534,3131601.185867,2042.7583,2049.8352,2062.677979
16060.0,343413.1906208534,3131601.185867,2043.7657,2049.8352,2062.677979
16070.0,343403.1906208534,3131601.185867,2043.7657,2049.3171,2058.157471
16080.0,343393.1906208534,3131601.185867,2043.7657,2049.3171,2058.157471
16090.0,343383.1906208534,3131601.185867,2043.7118,2049.3171,2058.157471
16100.0,343373.1906208534,3131601.185867,2043.7118,2050.3467,2058.157471
16110.0,343363.1906208534,3131601.185867,2043.7118,2050.3467,2058.157471
16120.0,343353.1906208534,3131601.185867,2048.1733,2050.3467,2058.157471
16130.0,343343.1906208534,3131601.185867,2048.1733,2050.3467,2058.157471
16140.0,343333.1906208534,3131601.185867,2048.1733,2050.0068,2050.136719
16150.0,343323.1906208534,3131601.185867,2048.3066,2050.0068,2050.136719
16160.0,343313.8498431656,3131597.9441910977,2048.3066,2050.0068,2050.136719
16170.0,343304.64409081073,3131594.038538325,2048.3066,2044.4885,2050.136719
16180.0,343297.5347843596,3131587.0240968233,2040.1945,2044.4885,2050.136719
16190.0,343290.4635566592,3131579.9531889036,2040.1945,2045.9309,2050.136719
16200.0,343283.3923289588,3131572.882280984,2040.1945,2045.9309,2050.136719
