i,j,x,y,terrain_z,chainage_m,distance_to_robust_low_track_m,robust_floor_z,height_above_robust_floor_m,erodible
87,1,337486.000000,3127548.000000,2818.11816,17250.000000,2659.585598,1882.716000,935.402160,0
88,1,337550.000000,3127548.000000,2788.46338,17250.000000,2639.488328,1882.716000,905.747380,0
89,1,337614.000000,3127548.000000,2773.02515,17250.000000,2620.800206,1882.716000,890.309150,0
90,1,337678.000000,3127548.000000,2734.88086,17250.000000,2603.551574,1882.716000,852.164860,0
91,1,337742.000000,3127548.000000,2740.31763,17250.000000,2587.771219,1882.716000,857.601630,0
92,1,337806.000000,3127548.000000,2781.24512,17250.000000,2573.486149,1882.716000,898.529120,0
93,1,337870.000000,3127548.000000,2813.56128,17250.000000,2560.721391,1882.716000,930.845280,0
94,1,337934.000000,3127548.000000,2837.86157,17250.000000,2549.499779,1882.716000,955.145570,0
95,1,337998.000000,3127548.000000,2839.52808,17250.000000,2539.841768,1882.716000,956.812080,0
96,1,338062.000000,3127548.000000,2836.6499,17250.000000,2531.765251,1882.716000,953.933900,0
97,1,338126.000000,3127548.000000,2826.63208,17250.000000,2525.285403,1882.716000,943.916080,0
98,1,338190.000000,3127548.000000,2815.92407,17250.000000,2520.414539,1882.716000,933.208070,0
99,1,338254.000000,3127548.000000,2814.27539,17250.000000,2517.161999,1882.716000,931.559390,0
100,1,338318.000000,3127548.000000,2808.49683,17750.000000,2511.204933,1867.942000,940.554830,0
101,1,338382.000000,3127548.000000,2796.87134,17750.000000,2497.890676,1867.942000,928.929340,0
102,1,338446.000000,3127548.000000,2791.77393,17750.000000,2486.153141,1867.942000,923.831930,0
103,1,338510.000000,3127548.000000,2792.31372,18000.000000,2475.284367,1872.970000,919.343720,0
104,1,338574.000000,3127548.000000,2804.24854,18000.000000,2460.222142,1872.970000,931.278540,0
105,1,338638.000000,3127548.000000,2821.2959,18000.000000,2446.741767,1872.970000,948.325900,0
106,1,338702.000000,3127548.000000,2817.83057,18000.000000,2434.869517,1872.970000,944.860570,0
107,1,338766.000000,3127548.000000,2795.33765,18000.000000,2424.629014,1872.970000,922.367650,0
108,1,338830.000000,3127548.000000,2771.0603,18250.000000,2413.442805,1859.457000,911.603300,0
109,1,338894.000000,3127548.000000,2757.87061,18250.000000,2399.999405,1859.457000,898.413610,0
110,1,338958.000000,3127548.000000,2734.90674,18250.000000,2388.195995,1859.457000,875.449740,0
111,1,339022.000000,3127548.000000,2700.16016,18250.000000,2378.056997,1859.457000,840.703160,0
112,1,339086.000000,3127548.000000,2673.58057,18250.000000,2369.603775,1859.457000,814.123570,0
113,1,339150.000000,3127548.000000,2639.36914,18250.000000,2362.854422,1859.457000,779.912140,0
114,1,339214.000000,3127548.000000,2590.98022,18250.000000,2357.823570,1859.457000,731.523220,0
115,1,339278.000000,3127548.000000,2524.47437,18250.000000,2354.522235,1859.457000,665.017370,0
116,1,339342.000000,3127548.000000,2449.99927,18250.000000,2352.957697,1859.457000,590.542270,0
117,1,339406.000000,3127548.000000,2342.89038,18250.000000,2353.133420,1859.457000,483.433380,0
118,1,339470.000000,3127548.000000,2205.09497,19500.000000,2351.101655,1819.306000,385.788970,0
119,1,339534.000000,3127548.000000,2120.67334,19500.000000,2322.530778,1819.306000,301.367340,0
120,1,339598.000000,3127548.000000,2077.69263,19500.000000,2295.389169,1819.306000,258.386630,0
121,1,339662.000000,3127548.000000,2051.90771,19500.000000,2269.728103,1819.306000,232.601710,0
122,1,339726.000000,3127548.000000,2012.69226,19500.000000,2245.598336,1819.306000,193.386260,0
123,1,339790.000000,3127548.000000,2021.09167,19500.000000,2223.049731,1819.306000,201.785670,0
124,1,339854.000000,3127548.000000,2068.87573,19500.000000,2202.130862,1819.306000,249.569730,0
125,1,339918.000000,3127548.000000,2072.44775,19500.000000,2182.888581,1819.306000,253.141750,0
126,1,339982.000000,3127548.000000,2025.14307,19500.000000,2165.367585,1819.306000,205.837070,0
127,1,340046.000000,3127548.000000,1981.78979,19500.000000,2149.609965,1819.306000,162.483790,0
