time_s,wet_volume_m3,moving_volume_gt_05_m3,moving_volume_gt_2_m3,com_x_m,com_y_m,com_elevation_m,mean_speed_moving_ms,p90_speed_ms,p99_speed_ms,max_depth_m,wet_area_m2,area_h_gt_1_m2,area_h_gt_3_m2,potential_energy_proxy,kinetic_energy_proxy,river_front_m,d8_front_m,wet_median_river_offset_m,wet_median_d8_offset_m,wet_fraction_river_gt_400
480.0,940060.3824715199,268402.4460335348,148261.67803730146,334689.246248571,3142301.27265474,2700.3298330813573,3.268588347623916,3.507267675191265,9.353636496246178,13.33647710111036,585728.0,163840.0,114688.0,52169662535529.766,3022888385.9019,2261.329566340134,2932.467529817256,286.2794211433736,160.0,0.1958041958041958
490.0,940036.329893016,254270.52632815312,152322.76704562517,334691.27249064913,3142297.665015823,2700.095366816233,3.292620748141127,3.8708750269093746,8.982029215166884,13.08789380456974,581632.0,167936.0,114688.0,52164534589786.47,3046672709.9748535,2261.329566340134,2932.467529817256,287.1977027415532,161.58431221748455,0.19718309859154928
500.0,940012.0752824611,259416.21741282285,144128.37481679607,334693.64148281276,3142294.0216316255,2699.9137046811984,3.214808314935603,3.550262019305373,9.534886092087891,13.41226343262328,581632.0,155648.0,114688.0,52161922666028.125,2966157651.053296,2261.329566340134,2932.467529817256,287.1977027415532,161.58431221748455,0.19718309859154928
510.0,939984.7787779262,258331.24626937832,148380.45795383473,334695.78625057254,3142290.399819475,2699.7113964417276,3.2515996588174705,3.673938580900146,9.358183958256712,13.2852596820645,585728.0,159744.0,114688.0,52158431981814.88,3160925134.7494407,2261.329566340134,2932.467529817256,286.2794211433736,163.1686244349691,0.1958041958041958
520.0,939962.4684207186,229294.64038841985,139775.3698288474,334698.47778133926,3142286.6328168,2699.560610924676,3.288042608310369,3.117701578413871,9.817656003731097,13.07080432876301,585728.0,159744.0,114688.0,52155934119227.64,2905219680.366826,2261.329566340134,2932.467529817256,286.2794211433736,163.1686244349691,0.1958041958041958
530.0,939940.614458756,240924.07698454073,140868.93379687873,334700.63972355967,3142283.495235334,2699.366753721111,3.1221974366317284,3.1932727637141274,9.018676787172588,13.41068126432143,585728.0,155648.0,114688.0,52152540474286.84,2781638844.607305,2261.329566340134,2932.467529817256,286.2794211433736,163.1686244349691,0.1958041958041958
540.0,939910.786121496,239377.49305917192,139421.36048392457,334702.4452226125,3142280.1062179236,2699.177927643063,2.9957607063459677,2.9841405028959236,9.46716514784603,13.23990190210133,585728.0,151552.0,110592.0,52148957590930.0,2730628071.3740816,2261.329566340134,2932.467529817256,286.2794211433736,163.1686244349691,0.1958041958041958
550.0,939881.1400939851,252742.84210471695,134260.88586418176,334704.8037844226,3142277.0375114153,2699.016194565412,2.9422849165135547,3.1834416253283813,8.98995457357788,13.01034312823644,585728.0,151552.0,114688.0,52145856227797.69,2896410088.761462,2261.329566340134,2932.467529817256,286.2794211433736,163.1686244349691,0.1958041958041958
560.0,939860.3409936079,241751.62038912484,125926.9558601848,334706.8689771889,3142273.6885409215,2698.8498691165582,3.0003041618670228,2.9700123482124066,9.39953047944647,13.35589151643595,573440.0,155648.0,114688.0,52140097738142.484,2631130849.980133,2261.329566340134,2932.467529817256,290.3234496199752,163.1686244349691,0.2
570.0,939835.8552058316,239908.00828413537,129546.50348753433,334709.49056830443,3142270.062571765,2698.666933209687,2.9989578880923364,3.0887332916753243,8.997334083488143,13.12134980748794,581632.0,151552.0,114688.0,52137472531481.0,2979922485.5319095,2351.5329435055064,3022.977197809134,287.1977027415532,163.1686244349691,0.19718309859154928
580.0,939811.1155373255,242127.27241956728,118758.16216218921,334711.9739956433,3142266.857360284,2698.529530733197,2.891077942698288,2.918522173477058,9.224577955115862,13.362657708065,585728.0,155648.0,110592.0,52135514217814.51,2665709318.921608,2392.9147279240524,3068.232031805073,286.2794211433736,163.1686244349691,0.1958041958041958
590.0,939789.8173334859,256126.05015352368,124724.74368380097,334713.70955891535,3142263.79925066,2698.340343058788,2.8904666350554953,2.9164885316889744,8.71312539944399,13.17288856061319,585728.0,155648.0,110592.0,52132196170357.914,2872614796.524252,2392.9147279240524,3068.232031805073,286.2794211433736,163.1686244349691,0.1958041958041958
600.0,939764.5369949276,245832.96084365496,120956.12821613868,334715.91014005186,3142260.8612898253,2698.2009107142867,2.8874787296117748,2.8672724075015332,9.035114290770888,13.11138406038974,585728.0,151552.0,106496.0,52129637667125.33,2738123036.383553,2392.9147279240524,3068.232031805073,286.2794211433736,163.1686244349691,0.1958041958041958
