case,time_s,source_connected_max_chainage_unrestricted,max_chainage_256m,max_lateral_distance_m,source_connected_volume
C5,870,1600.3244358059997,1270.0210908017134,428.8531501461122,
C5,900,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,30,323.0703600064646,323.0703600064646,209.9243304913095,
C6,60,602.5692849541147,602.5692849541147,256.6147115562749,
C6,90,875.1598858206247,875.1598858206247,256.6147115562749,
C6,120,1050.6902256499422,1050.6902256499422,256.6147115562749,
C6,150,1110.6609502151668,1110.6609502151668,256.6147115562749,
C6,180,1232.1738163295522,1180.563896594787,286.73502682748074,
C6,210,1370.698065727749,1180.563896594787,415.1372918665172,
C6,240,1460.654152575586,1270.0210908017134,415.1372918665172,
C6,270,1460.654152575586,1270.0210908017134,415.1372918665172,
C6,300,1540.9274661863296,1270.0210908017134,415.1372918665172,
C6,330,1540.9274661863296,1270.0210908017134,428.8531501461122,
C6,360,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,390,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,420,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,450,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,480,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,510,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,540,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,570,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,600,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,630,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,660,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,690,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,720,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,750,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,780,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,810,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,840,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,870,1600.3244358059997,1270.0210908017134,428.8531501461122,
C6,900,1600.3244358059997,1270.0210908017134,428.8531501461122,
