case,time_s,cell_id,h,speed,terrain_z
C5,330,2,77.9082103565813,0.0,2783.94091796875
C5,330,3,49.2551030626182,0.0,2807.7353515625
C5,360,1,91.95267239930594,0.0,2773.6123046875
C5,360,2,77.9082103565813,0.0,2783.94091796875
C5,360,3,49.2551030626182,0.0,2807.7353515625
C5,390,1,91.95267239930594,0.0,2773.6123046875
C5,390,2,77.9082103565813,0.0,2783.94091796875
C5,390,3,49.2551030626182,0.0,2807.7353515625
C5,420,1,91.95267239930594,0.0,2773.6123046875
C5,420,2,77.9082103565813,0.0,2783.94091796875
C5,420,3,49.2551030626182,0.0,2807.7353515625
C5,450,1,91.95267239930594,0.0,2773.6123046875
C5,450,2,77.9082103565813,0.0,2783.94091796875
C5,450,3,49.2551030626182,0.0,2807.7353515625
C5,480,1,91.95267239930594,0.0,2773.6123046875
C5,480,2,77.9082103565813,0.0,2783.94091796875
C5,480,3,49.2551030626182,0.0,2807.7353515625
C5,510,1,91.95267239930594,0.0,2773.6123046875
C5,510,2,77.9082103565813,0.0,2783.94091796875
C5,510,3,49.2551030626182,0.0,2807.7353515625
C5,540,1,91.95267239930594,0.0,2773.6123046875
C5,540,2,77.9082103565813,0.0,2783.94091796875
C5,540,3,49.2551030626182,0.0,2807.7353515625
C5,570,1,91.95267239930594,0.0,2773.6123046875
C5,570,2,77.9082103565813,0.0,2783.94091796875
C5,570,3,49.2551030626182,0.0,2807.7353515625
C5,600,1,91.95267239930594,0.0,2773.6123046875
C5,600,2,77.9082103565813,0.0,2783.94091796875
C5,600,3,49.2551030626182,0.0,2807.7353515625
C5,630,1,91.95267239930594,0.0,2773.6123046875
C5,630,2,77.9082103565813,0.0,2783.94091796875
C5,630,3,49.2551030626182,0.0,2807.7353515625
C5,660,1,91.95267239930594,0.0,2773.6123046875
C5,660,2,77.9082103565813,0.0,2783.94091796875
C5,660,3,49.2551030626182,0.0,2807.7353515625
C5,690,1,91.95267239930594,0.0,2773.6123046875
C5,690,2,77.9082103565813,0.0,2783.94091796875
C5,690,3,49.2551030626182,0.0,2807.7353515625
