distance_from_source_m,x,y,native_z,z32,z64
5300.0,352171.58319014875,3132954.297158099,3383.583740234375,3383.583740234375,3383.583740234375
5320.0,352153.6944845569,3132963.2411064575,3371.6240234375,3371.6240234375,3371.6240234375
5340.0,352135.80577896506,3132972.185054817,3371.99072265625,3371.99072265625,3371.99072265625
5360.0,352118.6084295958,3132982.0882512312,3371.8798828125,3371.8798828125,3371.8798828125
5380.0,352104.46595484077,3132996.2300477154,3361.4111328125,3361.4111328125,3361.4111328125
5400.0,352090.3234800857,3133010.3718441995,3350.52587890625,3350.52587890625,3350.52587890625
5420.0,352076.18100533064,3133024.513640684,3336.250244140625,3336.250244140625,3336.250244140625
5440.0,352062.0385305756,3133038.655437168,3334.51416015625,3334.51416015625,3334.51416015625
5460.0,352047.8960558206,3133052.7972336523,3321.888916015625,3321.888916015625,3321.888916015625
5480.0,352033.7535810655,3133066.939030137,3322.0595703125,3322.0595703125,3322.0595703125
5500.0,352019.61110631045,3133081.080826621,3304.7900390625,3304.7900390625,3304.7900390625
5520.0,352005.4686315554,3133095.222623105,3304.7900390625,3304.7900390625,3304.7900390625
5540.0,351991.3261568003,3133109.3644195893,3285.800048828125,3285.800048828125,3285.800048828125
5560.0,351977.18368204526,3133123.506216074,3285.800048828125,3285.800048828125,3285.800048828125
5580.0,351963.0412072902,3133137.648012558,3269.20703125,3269.20703125,3269.20703125
5600.0,351948.89873253513,3133151.789809042,3269.20703125,3269.20703125,3269.20703125
5620.0,351934.75625778007,3133165.9316055267,3260.33251953125,3260.33251953125,3260.33251953125
5640.0,351920.613783025,3133180.073402011,3260.33251953125,3260.33251953125,3260.33251953125
